Dataset,Files,Obj,Total,Greedy,Better,Equal,Worse,Invalid,AvgTime,ObjRatio,GreedyRatio,Gain,GainRatio,Config,Folder,Tag,PopSize,Elite,Crossover,Mutation,Kick,TournamentK,Seed
Adversarial,10,42236,47899,42180,7,3,0,0,395.18,0.8817720620472244,0.8806029353431178,56,0.0011691267041065575,autoPop,Evolutionary_Timetabling_autoPop_cx0p85_mut0p75_kick0p35_tk3_seed42,,,,,,,,
Adversarial,10,42228,47899,42180,7,3,0,0,395.17,0.8816050439466377,0.8806029353431178,48,0.0010021086035199064,pop20,Evolutionary_Timetabling_pop20_elite3_cx0p85_mut0p75_kick0p35_tk3_seed42_small_pop20,small_pop20,20,3,0.85,0.75,0.35,3,42
Adversarial,10,42230,47899,42180,6,4,0,0,395.2,0.8816467984717844,0.8806029353431178,50,0.0010438631286665693,low_cx,Evolutionary_Timetabling_pop40_elite5_cx0p6_mut0p75_kick0p35_tk3_seed42_low_crossover_0p6,low_crossover_0p6,40,5,0.6,0.75,0.35,3,42
Adversarial,10,42223,47899,42180,6,4,0,0,395.17,0.8815006576337711,0.8806029353431178,43,0.0008977222906532495,low_mut,Evolutionary_Timetabling_pop40_elite5_cx0p85_mut0p4_kick0p35_tk3_seed42_low_mutation_0p4,low_mutation_0p4,40,5,0.85,0.4,0.35,3,42
Adversarial,10,42225,47899,42180,7,3,0,0,395.27,0.8815424121589177,0.8806029353431178,45,0.0009394768157999123,high_kick,Evolutionary_Timetabling_pop40_elite5_cx0p85_mut0p75_kick0p55_tk3_seed42_high_kick_0p55,high_kick_0p55,40,5,0.85,0.75,0.55,3,42
Adversarial,10,42238,47899,42180,7,3,0,0,395.16,0.881813816572371,0.8806029353431178,58,0.0012108812292532204,high_mut,Evolutionary_Timetabling_pop40_elite5_cx0p85_mut0p9_kick0p35_tk3_seed42_high_mutation_0p9,high_mutation_0p9,40,5,0.85,0.9,0.35,3,42
Adversarial,10,42223,47899,42180,7,3,0,0,395.17,0.8815006576337711,0.8806029353431178,43,0.0008977222906532495,high_cx,Evolutionary_Timetabling_pop40_elite5_cx0p95_mut0p75_kick0p35_tk3_seed42_high_crossover_0p95,high_crossover_0p95,40,5,0.95,0.75,0.35,3,42
Adversarial,10,42237,47899,42180,7,3,0,0,395.12,0.8817929393097977,0.8806029353431178,57,0.001190003966679889,pop60,Evolutionary_Timetabling_pop60_elite6_cx0p85_mut0p75_kick0p35_tk3_seed42_large_pop60,large_pop60,60,6,0.85,0.75,0.35,3,42
Exponential,10,43965,47900,43739,7,3,0,0,395.09,0.9178496868475992,0.9131315240083507,226,0.004718162839248434,autoPop,Evolutionary_Timetabling_autoPop_cx0p85_mut0p75_kick0p35_tk3_seed42,,,,,,,,
Exponential,10,43784,47900,43739,4,6,0,0,395.11,0.914070981210856,0.9131315240083507,45,0.0009394572025052192,pop20,Evolutionary_Timetabling_pop20_elite3_cx0p85_mut0p75_kick0p35_tk3_seed42_small_pop20,small_pop20,20,3,0.85,0.75,0.35,3,42
